date,school_day
2026-03-02,true
2026-03-03,true
2026-03-04,true
2026-03-05,true
2026-03-06,true
2026-03-07,false
2026-03-08,false
2026-03-09,true
2026-03-10,true
2026-03-11,true
2026-03-12,true
2026-03-13,true
2026-03-14,false
2026-03-15,false
2026-03-16,true
2026-03-17,true
2026-03-18,true
2026-03-19,true
2026-03-20,true
2026-03-21,false
2026-03-22,false
2026-03-23,true
2026-03-24,true
2026-03-25,true
2026-03-26,true
2026-03-27,true
2026-03-28,false
2026-03-29,false
2026-03-30,true
2026-03-31,true
2026-04-01,true
2026-04-02,true
2026-04-03,true
2026-04-04,false
2026-04-05,false
2026-04-06,false
2026-04-07,false
2026-04-08,false
2026-04-09,false
2026-04-10,false
2026-04-11,false
2026-04-12,false
2026-04-13,true
2026-04-14,true
2026-04-15,true
2026-04-16,true
2026-04-17,true
2026-04-18,false
2026-04-19,false
2026-04-20,true
2026-04-21,true
2026-04-22,true
2026-04-23,true
2026-04-24,true
2026-04-25,false
2026-04-26,false
2026-04-27,true
2026-04-28,true
2026-04-29,true
2026-04-30,true
2026-05-01,true
2026-05-02,false
2026-05-03,false
2026-05-04,true
2026-05-05,true
2026-05-06,true
2026-05-07,true
2026-05-08,true
2026-05-09,false
2026-05-10,false
2026-05-11,true
2026-05-12,true
2026-05-13,true
2026-05-14,true
2026-05-15,true
2026-05-16,false
2026-05-17,false
2026-05-18,true
2026-05-19,true
2026-05-20,true
2026-05-21,true
2026-05-22,true
2026-05-23,false
2026-05-24,false
2026-05-25,false
2026-05-26,true
2026-05-27,true
2026-05-28,true
2026-05-29,true
2026-05-30,false
2026-05-31,false
2026-06-01,true
2026-06-02,true
2026-06-03,true
2026-06-04,true
2026-06-05,true
2026-06-06,false
2026-06-07,false
2026-06-08,true
2026-06-09,true
2026-06-10,true
2026-06-11,true
2026-06-12,false
2026-06-13,false
2026-06-14,false
2026-06-15,false
2026-06-16,false
2026-06-17,false
2026-06-18,false
2026-06-19,false
2026-06-20,false
2026-06-21,false
2026-06-22,false
2026-06-23,false
2026-06-24,false
2026-06-25,false
2026-06-26,false
2026-06-27,false
2026-06-28,false
2026-06-29,false
2026-06-30,false
